"state_code" "county_code" "site_number" "parameter_code" "poc" "latitude" "longitude" "datum" "parameter" "date_local" "time_local" "date_gmt" "time_gmt" "sample_measurement" "units_of_measure" "units_of_measure_code" "sample_duration" "sample_duration_code" "sample_frequency" "detection_limit" "uncertainty" "qualifier" "method_type" "method" "method_code" "state" "county" "date_of_last_change" "cbsa_code"
"46" "13" "089" "0002" "43601" 1 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-08-13" "23:59" "2020-08-14" "04:59" 3.22 "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 6TH DAY" 0.057 NA "LK - Analyte Identified; Reported Value May Be Biased High." "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2021-10-18" "12060"
"47" "13" "089" "0002" "43601" 1 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-08-19" "23:59" "2020-08-20" "04:59" 0.82 "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 6TH DAY" 0.057 NA NA "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2021-01-26" "12060"
"48" "13" "089" "0002" "43601" 1 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-08-25" "23:59" "2020-08-26" "04:59" 0.45 "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 6TH DAY" 0.057 NA NA "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2021-01-26" "12060"
"49" "13" "089" "0002" "43601" 1 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-08-31" "23:59" "2020-09-01" "04:59" NA "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 6TH DAY" 0.12 NA "AA - Sample Pressure out of Limits." "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2021-03-12" "12060"
"50" "13" "089" "0002" "43601" 1 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-09-06" "23:59" "2020-09-07" "04:59" NA "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 6TH DAY" 0.12 NA "AA - Sample Pressure out of Limits." "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2021-03-12" "12060"
"51" "13" "089" "0002" "43601" 1 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-09-12" "23:59" "2020-09-13" "04:59" 0.69 "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 6TH DAY" 0.057 NA NA "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2021-01-26" "12060"
"52" "13" "089" "0002" "43601" 2 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-09-18" "23:59" "2020-09-19" "04:59" 0.36 "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 30 DAYS" 0.057 NA NA "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2021-01-26" "12060"
"53" "13" "089" "0002" "43601" 1 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-09-18" "23:59" "2020-09-19" "04:59" NA "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 6TH DAY" 0.12 NA "AA - Sample Pressure out of Limits." "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2021-03-12" "12060"
"54" "13" "089" "0002" "43601" 1 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-09-24" "23:59" "2020-09-25" "04:59" 0.43 "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 6TH DAY" 0.057 NA NA "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2021-01-26" "12060"
"55" "13" "089" "0002" "43601" 1 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-09-30" "23:59" "2020-10-01" "04:59" NA "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 6TH DAY" 0.12 NA "AA - Sample Pressure out of Limits." "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2021-03-12" "12060"
